function name,learning rate,momentum,lmabda,Uses grad(),mini batch size,epochs,iterations,mse
sgdm_rms_ridge,0.01,N/A,0.1,True,5,51,16,0.006845340084401335
sgdm_rms_ridge,0.01,N/A,0.5,True,5,51,16,0.02409014558923396
sgdm_rms_ols,0.1,N/A,N/A,True,5,7,15,0.0053439317034296345
sgdm_rms_ridge,0.1,N/A,0.01,True,5,51,16,0.003787202891900828
sgdm_rms_ridge,0.1,N/A,0.05,True,5,51,16,0.004001543002597294
sgdm_rms_ridge,0.1,N/A,0.1,True,5,51,16,0.006988775386863941
sgdm_rms_ridge,0.1,N/A,0.5,True,5,51,16,0.02260454285157123
sgdm_rms_ols,0.2,N/A,N/A,True,5,51,16,0.0014593954988293028
sgdm_rms_ridge,0.2,N/A,0.01,True,5,51,16,0.002385915372998341
sgdm_rms_ridge,0.2,N/A,0.05,True,5,51,16,0.00530709996030963
sgdm_rms_ridge,0.2,N/A,0.1,True,5,51,16,0.00920294445008097
sgdm_rms_ridge,0.2,N/A,0.5,True,5,51,16,0.01939533448186975
sgdm_rms_ols,0.5,N/A,N/A,True,5,51,16,0.006083917544095082
sgdm_rms_ridge,0.5,N/A,0.01,True,5,51,16,0.00502573839846339
sgdm_rms_ridge,0.5,N/A,0.05,True,5,51,16,0.009715893224499974
sgdm_rms_ridge,0.5,N/A,0.1,True,5,18,10,0.007999475410843095
sgdm_rms_ridge,0.5,N/A,0.5,True,5,51,16,0.02020317331640408
sgdm_rms_ols,0.01,N/A,N/A,True,5,19,9,0.002756567593168855
sgdm_rms_ridge,0.01,N/A,0.01,True,5,51,16,0.003455457807533572
sgdm_rms_ridge,0.01,N/A,0.05,True,5,7,2,0.0027563296260595654
sgdm_rms_ridge,0.01,N/A,0.1,True,5,51,16,0.00819264730573524
sgdm_rms_ridge,0.01,N/A,0.5,True,5,51,16,0.02688871080101862
sgdm_rms_ols,0.1,N/A,N/A,True,5,51,16,0.0014936492334152675
sgdm_rms_ridge,0.1,N/A,0.01,True,5,51,16,0.0037779980145492787
sgdm_rms_ridge,0.1,N/A,0.05,True,5,51,16,0.005383497557893611
sgdm_rms_ridge,0.1,N/A,0.1,True,5,23,9,0.008595071848111722
sgdm_rms_ridge,0.1,N/A,0.5,True,5,37,6,0.019446383596156438
sgdm_rms_ols,0.2,N/A,N/A,True,5,51,16,0.0027852545497399875
sgdm_rms_ridge,0.2,N/A,0.01,True,5,51,16,0.0014963295570805822
sgdm_rms_ridge,0.2,N/A,0.05,True,5,51,16,0.0056562508301181424
sgdm_rms_ridge,0.2,N/A,0.1,True,5,51,16,0.012188590554805957
sgdm_rms_ridge,0.2,N/A,0.5,True,5,51,16,0.023908050579887822
sgdm_rms_ols,0.5,N/A,N/A,True,5,51,16,0.0016743576844709077
sgdm_rms_ridge,0.5,N/A,0.01,True,5,26,1,0.004069114171348133
sgdm_rms_ridge,0.5,N/A,0.05,True,5,51,16,0.0049015289650645244
sgdm_rms_ridge,0.5,N/A,0.1,True,5,51,16,0.011521184159073529
sgdm_rms_ridge,0.5,N/A,0.5,True,5,51,16,0.023364223985549812
sgdm_rms_ols,0.01,N/A,N/A,True,10,51,8,0.007370532990965635
sgdm_rms_ridge,0.01,N/A,0.01,True,10,51,8,0.007486457750765363
sgdm_rms_ridge,0.01,N/A,0.05,True,10,51,8,0.006349401234095347
sgdm_rms_ridge,0.01,N/A,0.1,True,10,51,8,0.00979298991484595
sgdm_rms_ridge,0.01,N/A,0.5,True,10,51,8,0.030782029582366387
sgdm_rms_ols,0.1,N/A,N/A,True,10,51,8,0.011963795874525526
sgdm_rms_ridge,0.1,N/A,0.01,True,10,51,8,0.003601559597192125
sgdm_rms_ridge,0.1,N/A,0.05,True,10,51,8,0.00384279418690148
sgdm_rms_ridge,0.1,N/A,0.1,True,10,51,8,0.012323124521585575
sgdm_rms_ridge,0.1,N/A,0.5,True,10,51,8,0.02996416325075969
sgdm_rms_ols,0.2,N/A,N/A,True,10,51,8,0.011923553315001398
sgdm_rms_ridge,0.2,N/A,0.01,True,10,51,8,0.0075803340236273095
sgdm_rms_ridge,0.2,N/A,0.05,True,10,51,8,0.006694705571650706
sgdm_rms_ridge,0.2,N/A,0.1,True,10,51,8,0.01681208177341159
sgdm_rms_ridge,0.2,N/A,0.5,True,10,51,8,0.03522598577418828
sgdm_rms_ols,0.5,N/A,N/A,True,10,51,8,0.018054500513189742
sgdm_rms_ridge,0.5,N/A,0.01,True,10,51,8,0.01202019987656445
sgdm_rms_ridge,0.5,N/A,0.05,True,10,51,8,0.006002025166177857
sgdm_rms_ridge,0.5,N/A,0.1,True,10,51,8,0.02117058336877232
sgdm_rms_ridge,0.5,N/A,0.5,True,10,51,8,0.031126450066593828
sgdm_rms_ols,0.01,N/A,N/A,True,10,51,8,0.0070383795500289295
sgdm_rms_ridge,0.01,N/A,0.01,True,10,26,4,0.007429485802022434
sgdm_rms_ridge,0.01,N/A,0.05,True,10,24,1,0.009311219227442468
sgdm_rms_ridge,0.01,N/A,0.1,True,10,24,6,0.011609145756634447
sgdm_rms_ridge,0.01,N/A,0.5,True,10,29,1,0.028809762932755674
sgdm_rms_ols,0.1,N/A,N/A,True,10,51,8,0.0033683203628530767
sgdm_rms_ridge,0.1,N/A,0.01,True,10,51,8,0.005662194183815965
sgdm_rms_ridge,0.1,N/A,0.05,True,10,51,8,0.006395242266598676
sgdm_rms_ridge,0.1,N/A,0.1,True,10,51,8,0.008766992168993008
sgdm_rms_ridge,0.1,N/A,0.5,True,10,51,8,0.024607050589735315
sgdm_rms_ols,0.2,N/A,N/A,True,10,51,8,0.0019415288129155323
sgdm_rms_ridge,0.2,N/A,0.01,True,10,51,8,0.008664401216712463
sgdm_rms_ridge,0.2,N/A,0.05,True,10,51,8,0.010937208206098453
sgdm_rms_ridge,0.2,N/A,0.1,True,10,51,8,0.013019495377170814
sgdm_rms_ridge,0.2,N/A,0.5,True,10,51,8,0.02744993627176977
sgdm_rms_ols,0.5,N/A,N/A,True,10,51,8,0.01985128261154533
sgdm_rms_ridge,0.5,N/A,0.01,True,10,37,4,0.01425331563060577
sgdm_rms_ridge,0.5,N/A,0.05,True,10,51,8,0.03771592015990167
sgdm_rms_ridge,0.5,N/A,0.1,True,10,51,8,0.011618658093142852
sgdm_rms_ridge,0.5,N/A,0.5,True,10,51,8,0.04926390993437166
sgdm_rms_ols,0.01,N/A,N/A,True,10,22,2,0.0069488319025260425
sgdm_rms_ridge,0.01,N/A,0.01,True,10,51,8,0.007983859662050605
sgdm_rms_ridge,0.01,N/A,0.05,True,10,51,8,0.009404294014171193
sgdm_rms_ridge,0.01,N/A,0.1,True,10,47,2,0.01008822993198803
sgdm_rms_ridge,0.01,N/A,0.5,True,10,38,6,0.02884280364977775
sgdm_rms_ols,0.1,N/A,N/A,True,10,51,8,0.007571665596118548
sgdm_rms_ridge,0.1,N/A,0.01,True,10,51,8,0.0030708959177152538
sgdm_rms_ridge,0.1,N/A,0.05,True,10,51,8,0.007833139043590159
sgdm_rms_ridge,0.1,N/A,0.1,True,10,51,8,0.011301150049312918
sgdm_rms_ridge,0.1,N/A,0.5,True,10,51,8,0.029372629578970123
sgdm_rms_ols,0.2,N/A,N/A,True,10,51,8,0.004025385527780643
sgdm_rms_ridge,0.2,N/A,0.01,True,10,51,8,0.012046610216982228
sgdm_rms_ridge,0.2,N/A,0.05,True,10,51,8,0.01099197542864131
sgdm_rms_ridge,0.2,N/A,0.1,True,10,51,8,0.014826406602721512
sgdm_rms_ridge,0.2,N/A,0.5,True,10,51,8,0.03410217450106568
sgdm_rms_ols,0.5,N/A,N/A,True,10,51,8,0.002350588211566933
sgdm_rms_ridge,0.5,N/A,0.01,True,10,51,8,0.020559101220986736
sgdm_rms_ridge,0.5,N/A,0.05,True,10,51,8,0.005840987947259601
sgdm_rms_ridge,0.5,N/A,0.1,True,10,51,8,0.06270839762563216
sgdm_rms_ridge,0.5,N/A,0.5,True,10,51,8,0.05228146844869737
sgdm_rms_ols,0.01,N/A,N/A,True,10,17,5,0.002478500675088604
sgdm_rms_ridge,0.01,N/A,0.01,True,10,27,5,0.005780894193933419
