function name,learning rate,lambda,mini batch size,epochs,score
FFNN,0.01,0.01,20,200,0.6228070175438597
FFNN,0.01,0.1,20,200,0.6228070175438597
FFNN,0.01,0.5,20,200,0.6228070175438597
FFNN,0.1,0.001,20,200,0.6228070175438597
FFNN,0.1,0.01,20,200,0.7456140350877193
FFNN,0.1,0.1,20,200,0.8333333333333334
FFNN,0.1,0.5,20,200,0.631578947368421
FFNN,0.0001,0.001,5,500,0.6929824561403509
FFNN,0.0001,0.01,5,500,0.13157894736842105
FFNN,0.0001,0.1,5,500,0.37719298245614036
FFNN,0.0001,0.5,5,500,0.37719298245614036
FFNN,0.001,0.001,5,500,0.6228070175438597
FFNN,0.001,0.01,5,500,0.6228070175438597
FFNN,0.001,0.1,5,500,0.6228070175438597
FFNN,0.001,0.5,5,500,0.6228070175438597
FFNN,0.01,0.001,5,500,0.6403508771929824
FFNN,0.01,0.01,5,500,0.7631578947368421
FFNN,0.01,0.1,5,500,0.7543859649122807
FFNN,0.01,0.5,5,500,0.6228070175438597
FFNN,0.1,0.001,5,500,0.6228070175438597
FFNN,0.1,0.01,5,500,0.631578947368421
FFNN,0.1,0.1,5,500,0.6228070175438597
FFNN,0.1,0.5,5,500,0.6228070175438597
FFNN,0.0001,0.001,10,500,0.3157894736842105
FFNN,0.0001,0.01,10,500,0.37719298245614036
FFNN,0.0001,0.1,10,500,0.6228070175438597
FFNN,0.0001,0.5,10,500,0.37719298245614036
FFNN,0.001,0.001,10,500,0.22807017543859648
FFNN,0.001,0.01,10,500,0.6228070175438597
FFNN,0.001,0.1,10,500,0.38596491228070173
FFNN,0.001,0.5,10,500,0.6228070175438597
FFNN,0.01,0.001,10,500,0.6228070175438597
FFNN,0.01,0.01,10,500,0.7456140350877193
FFNN,0.01,0.1,10,500,0.6228070175438597
FFNN,0.01,0.5,10,500,0.6228070175438597
FFNN,0.1,0.001,10,500,0.6228070175438597
FFNN,0.1,0.01,10,500,0.6228070175438597
FFNN,0.1,0.1,10,500,0.6228070175438597
FFNN,0.1,0.5,10,500,0.6228070175438597
FFNN,0.0001,0.001,15,500,0.6228070175438597
FFNN,0.0001,0.01,15,500,0.20175438596491227
FFNN,0.0001,0.1,15,500,0.6228070175438597
FFNN,0.0001,0.5,15,500,0.37719298245614036
FFNN,0.001,0.001,15,500,0.7631578947368421
FFNN,0.001,0.01,15,500,0.6491228070175439
FFNN,0.001,0.1,15,500,0.6228070175438597
FFNN,0.001,0.5,15,500,0.6228070175438597
FFNN,0.01,0.001,15,500,0.6228070175438597
FFNN,0.01,0.01,15,500,0.6228070175438597
FFNN,0.01,0.1,15,500,0.6228070175438597
FFNN,0.01,0.5,15,500,0.6228070175438597
FFNN,0.1,0.001,15,500,0.6052631578947368
FFNN,0.1,0.01,15,500,0.6228070175438597
FFNN,0.1,0.1,15,500,0.6140350877192983
FFNN,0.1,0.5,15,500,0.6578947368421053
FFNN,0.0001,0.001,20,500,0.6228070175438597
FFNN,0.0001,0.01,20,500,0.6228070175438597
FFNN,0.0001,0.1,20,500,0.6403508771929824
FFNN,0.0001,0.5,20,500,0.6228070175438597
FFNN,0.001,0.001,20,500,0.6228070175438597
FFNN,0.001,0.01,20,500,0.6228070175438597
FFNN,0.001,0.1,20,500,0.6228070175438597
FFNN,0.001,0.5,20,500,0.6140350877192983
FFNN,0.01,0.001,20,500,0.6228070175438597
FFNN,0.01,0.01,20,500,0.6228070175438597
FFNN,0.01,0.1,20,500,0.6228070175438597
FFNN,0.01,0.5,20,500,0.6228070175438597
FFNN,0.1,0.001,20,500,0.6228070175438597
FFNN,0.1,0.01,20,500,0.6228070175438597
